Date Time Value
20160104 1010 15.5
20160104 1015 15.5
20160104 1020 15.5
20160104 1025 15.4
20160104 1030 15.4
20160104 1035 15.4
20160104 1040 15.5
20160104 1045 15.5
20160104 1050 15.5
20160104 1055 15.5
20160104 1100 15.5
20160104 1105 15.4
20160104 1110 15.4
20160104 1115 15.3
20160104 1120 15.3
20160104 1125 15.3
20160104 1130 15.1
20160104 1135 14.9
20160104 1140 15.1
20160104 1145 15.1
20160104 1150 14.9
20160104 1155 15.1
20160104 1200 15.2
20160104 1205 15.1
20160104 1210 14.9
20160104 1215 14.7
20160104 1220 14.6
20160104 1225 14.6
20160104 1230 14.5
20160104 1235 14.3
20160104 1240 14.2
20160104 1245 14.2
20160104 1250 14.4
20160104 1255 14.4
20160104 1300 14.0
20160104 1305 14.0
20160104 1310 13.7
20160104 1315 14.0
20160104 1320 14.1
20160104 1325 14.1
20160104 1330 14.1
20160104 1335 14.3
20160104 1340 14.3
20160104 1345 14.3
20160104 1350 14.3
20160104 1355 14.3
20160104 1400 13.7
20160104 1405 14.0
20160104 1410 14.1
20160104 1415 14.0
20160104 1420 14.1
20160104 1425 13.7
20160104 1430 13.4
20160104 1435 13.7
20160104 1440 13.7
20160104 1445 14.0
20160104 1450 13.5
20160104 1455 12.8
20160104 1500 12.5
20160104 1505 12.7
20160104 1510 12.8
20160104 1515 13.0
20160104 1520 13.1
20160104 1525 12.4
20160104 1530 12.6
20160104 1535 13.0
20160104 1540 13.3
20160104 1545 12.8
20160104 1550 13.3
20160104 1555 13.1
20160104 1600 12.8
20160104 1605 13.1
20160104 1610 13.3
20160104 1615 13.8
20160104 1620 14.2
20160104 1625 14.4
20160104 1630 14.5
20160104 1635 14.8
20160104 1640 15.0
20160104 1645 15.6
20160104 1650 15.9
20160104 1655 15.7
20160104 1700 15.6
20160104 1705 15.9
20160104 1710 15.9
20160104 1715 16.0
20160104 1720 15.5
20160104 1725 15.5
20160104 1730 15.5
20160104 1735 15.5
20160104 1740 15.6
20160104 1745 15.8
20160104 1750 16.0
20160104 1755 15.8
20160104 1800 15.9
20160104 1805 16.0
20160104 1810 15.7
20160104 1815 16.4
20160104 1820 16.4
20160104 1825 15.9
20160104 1830 15.9
20160104 1835 16.7
20160104 1840 16.8
20160104 1845 16.1
20160104 1850 15.9
20160104 1855 16.0
20160104 1900 16.5
20160104 1905 16.8
20160104 1910 16.6
20160104 1915 16.3
20160104 1920 16.5
20160104 1925 16.2
20160104 1930 15.9
20160104 1935 15.8
20160104 1940 16.8
20160104 1945 16.5
20160104 1950 16.5
20160104 1955 16.5
20160104 2000 16.3
20160104 2005 16.2
20160104 2010 16.2
20160104 2015 16.3
20160104 2020 16.4
20160104 2025 16.1
20160104 2030 16.3
20160104 2035 16.2
20160104 2040 16.5
20160104 2045 16.8
20160104 2050 16.9
20160104 2055 17.3
20160104 2100 17.4
20160104 2105 17.8
20160104 2110 18.0
20160104 2115 17.8
20160104 2120 17.0
20160104 2125 16.6
20160104 2130 16.7
20160104 2135 16.4
20160104 2140 16.9
20160104 2145 16.7
20160104 2150 16.3
20160104 2155 16.6
20160104 2200 16.2
20160104 2205 16.3
20160104 2210 16.3
20160104 2215 16.3
20160104 2220 16.0
20160104 2225 16.2
20160104 2230 16.0
20160104 2235 16.1
20160104 2240 15.9
20160104 2245 16.0
20160104 2250 16.2
20160104 2255 16.0
20160104 2300 16.1
20160104 2305 16.1
20160104 2310 15.8
20160104 2315 15.6
20160104 2320 15.6
20160104 2325 15.6
20160104 2330 15.5
20160104 2335 15.4
20160104 2340 15.3
20160104 2345 15.2
20160104 2350 15.1
20160104 2355 15.1
20160105 0000 15.1
20160105 0005 15.2
20160105 0010 15.3
20160105 0015 15.2
20160105 0020 15.1
20160105 0025 15.0
20160105 0030 14.9
20160105 0035 14.8
20160105 0040 14.8
20160105 0045 14.8
20160105 0050 14.8
20160105 0055 14.8
20160105 0100 14.8
20160105 0105 14.7
20160105 0110 14.7
20160105 0115 14.6
20160105 0120 14.5
20160105 0125 14.3
20160105 0130 14.2
20160105 0135 14.2
20160105 0140 14.2
20160105 0145 14.4
20160105 0150 14.5
20160105 0155 14.5
20160105 0200 14.7
20160105 0205 14.5
20160105 0210 14.5
20160105 0215 14.6
20160105 0220 14.7
20160105 0225 14.8
20160105 0230 14.7
20160105 0235 14.7
20160105 0240 14.7
20160105 0245 14.6
20160105 0250 14.5
20160105 0255 14.4
20160105 0300 14.2
20160105 0305 13.8
20160105 0310 13.4
20160105 0315 13.8
20160105 0320 14.2
20160105 0325 14.3
20160105 0330 14.4
20160105 0335 14.3
20160105 0340 13.8
20160105 0345 13.5
20160105 0350 13.2
20160105 0355 13.1
20160105 0400 13.3
20160105 0405 13.5
20160105 0410 13.6
20160105 0415 13.0
20160105 0420 12.7
20160105 0425 12.9
20160105 0430 12.3
20160105 0435 12.2
20160105 0440 12.5
20160105 0445 12.4
20160105 0450 12.5
20160105 0455 12.8
20160105 0500 13.0
20160105 0505 13.2
20160105 0510 12.8
20160105 0515 12.2
20160105 0520 12.4
20160105 0525 12.5
20160105 0530 12.6
20160105 0535 12.7
20160105 0540 12.7
20160105 0545 12.6
20160105 0550 12.6
20160105 0555 12.7
20160105 0600 12.6
20160105 0605 12.7
20160105 0610 12.5
20160105 0615 11.9
20160105 0620 11.7
20160105 0625 12.1
20160105 0630 11.9
20160105 0635 12.4
20160105 0640 12.4
20160105 0645 12.4
20160105 0650 12.1
20160105 0655 12.1
20160105 0700 11.8
20160105 0705 11.7
20160105 0710 12.3
20160105 0715 12.5
20160105 0720 11.9
20160105 0725 12.2
20160105 0730 11.9
20160105 0735 12.0
20160105 0740 12.5
20160105 0745 12.5
20160105 0750 12.4
20160105 0755 12.3
20160105 0800 12.2
20160105 0805 12.3
20160105 0810 12.5
20160105 0815 12.7
20160105 0820 12.7
20160105 0825 12.7
20160105 0830 12.6
20160105 0835 12.4
20160105 0840 12.2
20160105 0845 12.1
20160105 0850 12.1
20160105 0855 12.0
20160105 0900 12.4
20160105 0905 12.6
20160105 0910 12.8
20160105 0915 12.9
20160105 0920 13.1
20160105 0925 13.2
20160105 0930 13.2
20160105 0935 13.1
20160105 0940 13.0
20160105 0945 13.0
